major_code,major_name,job_code,job_name,unit_code,unit_name,level,ksa_type,item
01,사업관리,010101,프로젝트관리(PM),010101_L1,프로젝트관리(PM) 기초 입문 및 업무 환경 지원,1,Knowledge(지식),프로젝트관리(PM) 개론
01,사업관리,010101,프로젝트관리(PM),010101_L1,프로젝트관리(PM) 기초 입문 및 업무 환경 지원,1,Knowledge(지식),표준 작업 지침서
01,사업관리,010101,프로젝트관리(PM),010101_L1,프로젝트관리(PM) 기초 입문 및 업무 환경 지원,1,Knowledge(지식),기초 법령/규정
01,사업관리,010101,프로젝트관리(PM),010101_L1,프로젝트관리(PM) 기초 입문 및 업무 환경 지원,1,Skill(기술/도구),기초 전산 툴 조작
01,사업관리,010101,프로젝트관리(PM),010101_L1,프로젝트관리(PM) 기초 입문 및 업무 환경 지원,1,Skill(기술/도구),문서 서식 작성
01,사업관리,010101,프로젝트관리(PM),010101_L1,프로젝트관리(PM) 기초 입문 및 업무 환경 지원,1,Skill(기술/도구),자료 검색 및 분류
01,사업관리,010101,프로젝트관리(PM),010101_L1,프로젝트관리(PM) 기초 입문 및 업무 환경 지원,1,Attitude(태도),규정 준수 의식
01,사업관리,010101,프로젝트관리(PM),010101_L1,프로젝트관리(PM) 기초 입문 및 업무 환경 지원,1,Attitude(태도),성실한 업무 지원 태도
01,사업관리,010101,프로젝트관리(PM),010101_L2,프로젝트관리(PM) 초급 실무 및 정형 과업 수행,2,Knowledge(지식),프로젝트관리(PM) 실무 프로세스
01,사업관리,010101,프로젝트관리(PM),010101_L2,프로젝트관리(PM) 초급 실무 및 정형 과업 수행,2,Knowledge(지식),단위 업무 품질 기준
01,사업관리,010101,프로젝트관리(PM),010101_L2,프로젝트관리(PM) 초급 실무 및 정형 과업 수행,2,Knowledge(지식),데이터 검증 기법
01,사업관리,010101,프로젝트관리(PM),010101_L2,프로젝트관리(PM) 초급 실무 및 정형 과업 수행,2,Skill(기술/도구),실무 도구/SW 조작
01,사업관리,010101,프로젝트관리(PM),010101_L2,프로젝트관리(PM) 초급 실무 및 정형 과업 수행,2,Skill(기술/도구),데이터 정제 및 가공
